0.000000 1.000000 2.000000 3.000000
0.010000 1.100000 2.230000 2.819999
0.020000 1.213000 2.484680 2.656528
0.030000 1.340168 2.767250 2.509564
0.040000 1.482876 3.081192 2.379345
0.050000 1.642708 3.430302 2.266412
0.060000 1.821467 3.818727 2.171667
0.070000 2.021193 4.250994 2.096445
0.080000 2.244173 4.732045 2.042602
0.090000 2.492960 5.267254 2.012623
0.100000 2.770390 5.862436 2.009758
0.110000 3.079594 6.523843 2.038186
0.120000 3.424019 7.258123 2.103214
0.130000 3.807429 8.072252 2.211519
0.140000 4.233912 8.973408 2.371429
0.150000 4.707861 9.968764 2.593259
0.160000 5.233951 11.065191 2.889690
0.170000 5.817075 12.268801 3.276189
0.180000 6.462248 13.584315 3.771461
0.190000 7.174455 15.014180 4.397881
0.200000 7.958427 16.557362 5.181873
0.210000 8.818321 18.207752 6.154119
0.220000 9.757264 19.952114 7.349460
0.230000 10.776749 21.767521 8.806274
0.240000 11.875826 23.618305 10.565018
0.250000 13.050074 25.452671 12.665548
0.260000 14.290333 27.199301 15.142767
0.270000 15.581229 28.764648 18.020115
0.280000 16.899570 30.031990 21.300653
0.290000 18.212812 30.863831 24.955879
0.300000 19.477915 31.109612 28.913317
0.310000 20.641085 30.620621 33.045258
0.320000 21.639038 29.273018 37.162659
0.330000 22.402435 26.997578 41.019535
0.340000 22.861950 23.810909 44.333000
0.350000 22.956846 19.838758 46.821091
0.360000 22.645037 15.319643 48.254021
0.370000 21.912497 10.579916 48.506210
0.380000 20.779238 5.980694 47.590771
0.390000 19.299383 1.850075 45.660778
0.400000 17.554453 -1.576847 42.973763
0.410000 15.641323 -4.189641 39.832024
0.420000 13.658227 -5.998429 36.521225
0.430000 11.692561 -7.102293 33.267185
0.440000 9.813076 -7.647139 30.218922
0.450000 8.067055 -7.788412 27.453897
0.460000 6.481508 -7.666473 24.995333
0.470000 5.066710 -7.395061 22.832066
0.480000 3.820533 -7.059266 20.935234
0.490000 2.732553 -6.718762 19.269844
0.500000 1.787421 -6.413018 17.801588
0.510000 0.967378 -6.166599 16.500181
0.520000 0.253980 -5.993687 15.340509
0.530000 -0.370787 -5.901597 14.302581
0.540000 -0.923868 -5.893369 13.370953
0.550000 -1.420818 -5.969589 12.533998
0.560000 -1.875695 -6.129637 11.783212
0.570000 -2.301089 -6.372518 11.112634
0.580000 -2.708232 -6.697386 10.518425
0.590000 -3.107147 -7.103854 9.998574
0.600000 -3.506818 -7.592146 9.552727
0.610000 -3.915351 -8.163137 9.182117
0.620000 -4.340129 -8.818293 8.889588
0.630000 -4.787946 -9.559526 8.679671
0.640000 -5.265104 -10.388978 8.558728
0.650000 -5.777491 -11.308691 8.535134
0.660000 -6.330611 -12.320185 8.619481
0.670000 -6.929569 -13.423888 8.824789
0.680000 -7.579000 -14.618409 9.166684
0.690000 -8.282942 -15.899602 9.663498
0.700000 -9.044608 -17.259407 10.336216
0.710000 -9.866088 -18.684433 11.208178
0.720000 -10.747922 -20.154285 12.304384
0.730000 -11.688559 -21.639694 13.650254
0.740000 -12.683672 -23.100576 15.269601
0.750000 -13.725363 -24.484253 17.181623
